OBJECTID,ZONE_DIST,PD_NUM,CD_NUM,CASE_NUMBER,COUNCIL_DATE,COMMON_NAME,LONG_ZONE_DIST,GLOBALID,ORD_NUM,NOTES,RES_NUM,EFFECTIVEDATE,DISTRICTUSE,Shape__Area,Shape__Length
583,CR, ,,Transition,1989/07/18 05:00:00+00,,CR,b3e6b3b2-4196-4d5b-a290-dda582879c99,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,91659.384765625,1395.49957609346
584,R-10(A), ,,Transition,1989/07/18 05:00:00+00,,R-10(A),bbd148bf-f494-4fdf-ad7c-c100f336222b,19455,Zoning Transtion to Chapter 51A,870470,2012/08/24 05:00:00+00,,395658.529296875,3526.74099234073
585,A(A), ,,Transition,1989/07/18 05:00:00+00,,A(A),228b9148-d7b1-4653-b1c7-02ed0d976bfb,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,93518142.9890442,143565.935810653
586,IR, ,,Transition,1989/07/18 05:00:00+00,,IR,238cb17d-9a53-4d7f-829f-deee8afe75f2,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,91385.6669921875,2703.55703252847
587,PD,93,,,,,PD-93,49330fcd-1e21-4093-aa54-1d0697754d4e,,,,2012/08/24 05:00:00+00,,933206.7265625,4215.3015452519
588,MF-3(A), ,,Z045-135/12311,2005/04/27 05:00:00+00,,MF-3(A),5dc17b7b-3957-4670-8c49-bfac4f51fd8c,25961,CR to MF-3(A)+Deed Res,051356,2012/08/24 05:00:00+00,,70141.9951171875,1058.26108143484
589,PD,984,,Z167-112,2017/02/08 06:00:00+00,Vickery Meadows Community Court,PD-984,9c018cf0-ac10-497c-b246-84201f05416b,30349,ORDS_30349_MU-3 to PD 984_no Subareas at this time,170283,2017/02/08 06:00:00+00,0,50399.5927734375,926.768310219492
590,PD,717,,Z045-127,2005/02/23 06:00:00+00,Ubran Reserve,PD-717,ea4a4a7b-f7fa-462d-adf0-ef5e0cb1193e,25894,Goes to east line of DART_Takes in the streets/alleys thru Subdivision,050700,2012/08/24 05:00:00+00,,612063.588867188,5937.83562186134
591,LI, ,,,,,LI,0fed9026-de5b-4d90-8933-8f40e6e009f1,,,,2012/08/24 05:00:00+00,,166028.923828125,1701.86544148704
592,NS(A), ,,Transition,1989/07/18 05:00:00+00,,NS(A),9e41a891-543c-434d-b54b-1181147fbd2d,19455,Zoning Transition to Chapter 51A_NS(A) reduced to PD 972 per ORD 30226_Z156-194_161601_CC_9/28/2016,870470,2016/09/28 05:00:00+00,,7131.9375,338.072073863333
593,MF-1(A), ,,,,,MF-1(A),ad9e10e5-2b28-47bc-b140-3bb458819b0e,,,,2012/08/24 05:00:00+00,,2620222.98537442,10038.040554502
594,NO(A), ,,,,,NO(A),563ca12c-8812-4f79-910c-944bd885ede0,,,,2012/08/24 05:00:00+00,,374031.401367188,3105.73670462092
595,A(A), ,,Transition,1989/07/18 05:00:00+00,,A(A),49c369a3-7638-4f65-a088-11610452addc,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,4741.2333984375,407.666605828455
596,RR, ,,Transition,1989/07/18 05:00:00+00,,RR,aba346c4-9c30-4894-84c4-c76409a3977d,19455,Zoning Transition to Chapter 51A,870470,2009/03/27 05:00:00+00,,51607.58984375,950.440126249945
597,MC-2, ,,,,,MC-2,6b528db1-31fb-4fe9-9b07-04601606dbe9,,,,2012/08/24 05:00:00+00,,77005.548828125,1183.36996999448
598,MF-1(A), ,,Transition,1989/07/18 05:00:00+00,,MF-1(A),cb4dea2d-273b-4089-937d-0964fb3099a0,19455,Zoning Transition to Chapter 51A_MF-1(A) reduced per ORD 29387 for PD 916,870470,2014/06/25 05:00:00+00,,5087570.92650652,13140.8716148751
599,MF-1(A), ,,Transition,1989/07/18 05:00:00+00,,MF-1(A),ca5a729d-40cb-4f8b-94a9-b4285780554f,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,1810358.74316406,6513.60938971427
600,LO-1, ,,Transition,1989/07/18 05:00:00+00,,LO-1,1dd3cd15-dc6f-4aa4-99cd-0f4d2a9d548d,19455,Zoning Transition to Chapter 51A_LO-1 split and reduced to create PD 906_per Z123-363_ORD 29290,870470,2014/03/26 05:00:00+00,,185809.552734375,1842.52597365038
601,A(A), ,,Transition,1989/07/18 05:00:00+00,,A(A),931a6515-83d6-4f63-82df-b8865c1ca832,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,10498880.1816406,19913.6815734936
602,LO-1, ,,Transition,1989/07/18 05:00:00+00,,LO-1,76a6567e-be74-4bb1-ae93-00bb65f494f0,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,319458.774414062,2417.05273190998
603,PD,507,,,,,PD-507,c5407c5a-db70-4601-b262-c380e297dc34,,,,2012/08/24 05:00:00+00,,797269.22265625,5905.60630019119
604,PD,127,,Z801-157/395-N,1981/07/22 05:00:00+00,Turtle Creek Performing Arts Center,PD-127,e21d57ec-8ad7-4529-a359-ebb1edbbe437,17056,"ORDS_17056, 25508-COD_description needs correction_Not to centerline of ",812074,2012/08/24 05:00:00+00,0,470778.430440426,3499.66217179373
605,P(A), ,,Z190-104,2020/02/26 06:00:00+00,,P(A),876adf57-0f3f-4c54-9b55-af3119bc6465,31462,MF-2(A) reduced to P(A) per ORD 31462,200386,2020/02/26 06:00:00+00,,14405.095703125,604.340007134271
606,CR,,,Transition,1989/07/18 05:00:00+00,,CR,b3112588-3959-4551-86ef-6c5b01093ed9,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,9220.3837890625,544.637516061326
607,P(A), ,,,,,P(A),6974e1ac-a882-47db-a438-6370523a30b3,,,,2012/08/24 05:00:00+00,,359856.120117188,4283.09245229794
608,R-10(A), ,,Transition,1989/07/18 05:00:00+00,,R-10(A),f8341668-5770-42c4-b8f8-b19e03d1e780,19455,Zoning Transition to Chapter 51A_R-10(A)(-) to CR with Deed Res under ORD 32822,870470,2024/08/28 05:00:00+00,,10953609.4514199,24376.3951864381
609,CR, ,,Transition,1989/07/18 05:00:00+00,,CR,c581c24a-2938-417d-ba56-a746718744e1,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,107995.090820312,1376.61620678158
610,CR, ,,Transition,1989/07/18 05:00:00+00,,CR,dbf724ac-4269-470a-ba8a-400899e3c91c,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,893138.51953125,4443.58698213123
611,PD,240,,Z123-152,2013/04/10 05:00:00+00,Crow/Penn Trade Center,PD-240,7c62b667-865d-4c16-8869-5768773bc3a8,28967,"ORDS_19217, 19333, 22950, 25710-COD, 26398, 26411, 28967",130663,2013/04/10 05:00:00+00,0,5307276.25965834,13829.3680974934
612,PD,28,,,,,PD-28,2464c899-a19a-4578-9f7f-348e6f60f34c,,,,2012/08/24 05:00:00+00,,433952.4140625,2642.86657945907
613,PD,848,,Z101-134,2011/05/25 05:00:00+00,DISD_Adelfa Botello Callejo Elementary School,PD-848,6c0568d5-1a62-48f5-a738-8a9f01fac3c3,28199,"PD 366 SD 1 TR 1, CR, MF-2(A) to PD 848",111353,2012/08/24 05:00:00+00,1,595846.19140625,4429.26275719478
614,LO-1, ,,,,,LO-1,dcf2f8c2-436b-446c-bb54-fcb1760c169d,,,,2012/08/24 05:00:00+00,,240733.984375,2146.89731255975
615,MF-1(A), ,,Z812-246-N,,,MF-1(A),1266b54d-a0f7-4106-ae8f-bcd02a236722,,,,2012/08/24 05:00:00+00,,448598.794921875,3347.52009049391
616,CS, ,,Transition,1989/07/18 05:00:00+00,,CS,f9b5fcc1-f7b7-4d85-b4d4-b43ceba68072,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,68407.966796875,1232.44197750222
617,R-10(A), ,,Transition,1989/07/18 05:00:00+00,,R-10(A),3ca37f28-a219-4ecd-af6a-28dcee9d3969,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,7341501.6171875,19199.1298610047
618,NO(A), ,,Transition,1989/07/18 05:00:00+00,,NO(A),4faea2ad-96a4-4201-9bec-f7ecdb00e134,19455,"Zoning Transition to Chapter 51A_NO(A) reduced/split to CR and PD 986 per 30592, 30593",870470,2017/08/09 05:00:00+00,,510900.349609375,4047.74650412154
619,R-5(A), ,,Z090-200,2010/10/26 05:00:00+00,,R-5(A),3ebb8362-afa8-4a3f-857c-7d89dff2facd,28043,R-5(A) reduced,102774,2012/08/24 05:00:00+00,,1907703.90917969,9310.70734933297
620,CH, ,,Z112-223,2012/06/27 05:00:00+00,,CH,49dbf45a-1c3f-4e3b-9875-0724e49bb9fa,28692,CH reduced to PD 486 expansion per ORD 28692,121690,2012/08/24 05:00:00+00,,281517.352539062,2382.66907474128
621,MU-1, ,,,,,MU-1,07432757-ba7c-4474-b1b3-013ba23be2ea,,,,2012/08/24 05:00:00+00,,54731.763671875,951.359047538927
622,PD,7,,,,,PD-7,a238afe8-a497-47f7-b927-d19ca2f51183,,,,2012/08/24 05:00:00+00,,661408.10546875,3337.01569868189
623,D(A), ,,Transition,1989/07/18 05:00:00+00,,D(A),2e50257c-1318-4609-9a0c-44360fb8e585,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,559518.675058365,6781.91721624105
624,NS(A), ,,Transition,1989/07/18 05:00:00+00,,NS(A),b4000139-f177-4401-b2ec-1d6c2ca72ee6,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,84242.89453125,1200.88050177375
625,MU-1, ,,Z934-262/9676-N,1994/12/14 06:00:00+00,,MU-1,43506480-ccc5-4ded-9cbe-c8a8a71fceb7,22280,"LO-1, TH-1(A) and R-10(A) to MU-1+Deed Restrictions",944305,2012/08/24 05:00:00+00,,276420.668945312,2557.9730471008
626,TH-3(A), ,,Transition,1989/07/18 05:00:00+00,,TH-3(A),94e16d2b-026e-473e-bbc9-71173422f732,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,657349.04296875,3375.58430997794
627,PD,193,,Z223-114,2023/11/08 06:00:00+00,Oak Lawn PD 193_Chapter 51 Development Standards,PD-193,9b1e0cd4-a5fb-4174-8a38-3517aee919c5,32600,"Has Tracts 2 and 3_PD 582 Victory area removed_ORDS_21859, 22721, 22724, 23254, 23642, 24346, 24896, 25267-COD, 26776, 27225, 27448, 28934. 31242, 32600_PD 193 (GR)(-) to new PD 1109",231596,2023/11/08 06:00:00+00,2,110905332.561523,137757.340840487
628,P(A), ,,,,,P(A),6decaa8e-cbe1-4901-ac6c-a5ac2eab9163,,,,2012/08/24 05:00:00+00,,21921.8994140625,589.288738349284
629,PD,450,,Z178-316,2019/04/10 05:00:00+00,DISD_Louise Wolfe Kahn Elementary School,PD-450,1df918d9-4617-4862-a587-c83fa4498aac,31161,"ORDS_22820, 26042-COD, 31161_PD 450 (-) to PD 830 (+) and new SD 6B",190539,2019/04/10 05:00:00+00,1,488204.495117188,3072.44634346994
630,CR, ,,Transition,2011/09/28 05:00:00+00,,CR,899c4e00-7e0f-49a7-bc50-7f0c843af238,19455,LO-1 reduced to CR increased with Deed Res_D to D-1 per ORD 28391,870470,2012/08/24 05:00:00+00,,5040126.34179688,18637.3763757887
631,LO-1, ,,,,,LO-1,0b56a406-963b-41b8-b2a6-0923f67f0d1d,,,,2012/08/24 05:00:00+00,,12375.4970703125,532.139707165347
632,MF-2(A), ,,,,,MF-2(A),19d091b3-520c-4c92-b682-1cd6e3248bed,,,,2012/08/24 05:00:00+00,,511826.982421875,3825.06460450036
633,PD,874,,Z112-233,2012/10/24 05:00:00+00,Badera Avenue Multi-Family,PD-874,b3376a87-2df7-46cb-89b8-06ed0303f56f,28830,CR to PD 874,122689,2012/10/24 05:00:00+00,1,110988.23828125,1553.35504155846
634,PD,146,,,,,PD-146,03d0651b-d24c-44af-ab73-c90432d4beba,,,,2012/08/24 05:00:00+00,,2549023.61523438,9817.30967608893
635,MF-2(A), ,,,,,MF-2(A),52a817df-002e-4425-b872-e17739d0c92d,,,,2012/08/24 05:00:00+00,,75013.2685546875,1242.76837936229
636,PD,751,,Z178-346,2018/12/12 06:00:00+00,IH20 at Wheatland,PD-751,c22792e3-eb20-4d12-9ac1-e05f04535408,31069,"ORDS_26433, 27063, 27544, 31069_PD 751 Amend_PropDesc for Perimeter in TR 1_TR 2_ Tracts 1A, 1B, 1C, 1D, 1E, 1F, 1G, 1H, 2A, 2B, 2C",181848,2018/12/12 06:00:00+00,1,2840364.70800781,7925.29886613735
637,R-1/2ac(A), ,,Transition,1989/07/18 05:00:00+00,,R-1/2ac(A),60ca4dee-0033-41fd-84b2-ab025ef48298,19455,Zoning Transition to Chapter 51A_R-1/2ac(A) reduced to PD 1107 under Z223-210,870470,2023/10/25 05:00:00+00,,10888956.8974648,14633.9955013846
638,CR, ,,Transition,1989/07/18 05:00:00+00,,CR,e14633db-4cc1-44bf-8f22-8206e529b171,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,134291.712890625,1890.02258352375
639,MU-3,,,Z090-181,2011/04/27 05:00:00+00,,MU-3,40e0a5d8-94a6-4d37-8374-74b4c0fbae93,28186,MU-3 district reduced,111171,2012/08/24 05:00:00+00,,247579.563476562,2413.00882506968
640,PD,145,,Z167-360,2021/01/27 06:00:00+00,Arts District Planned Development District,PD-145,b1b555fe-0606-4be0-b6b8-17392e1535ba,31756,"ORDS_17710, 20345, 20862, 25508-COD, 26267, 28187, 31756_PD 145 amend_new Exhibits, delete Sasaki Plan",210278,2021/01/27 06:00:00+00,0,2712631.40722656,7216.08313371118
641,PD,501,,,,,PD-501,471a5200-f4ab-4191-8285-ce64ca649f4f,,,,2012/08/24 05:00:00+00,,483401.01953125,2948.19649214345
642,MF-1(A), ,,Z812-112/5333N,,,MF-1(A),206c2fa1-956c-4b58-a04b-bf3bac9955d5,,,,2012/08/24 05:00:00+00,,205556.094726562,2322.27833514197
643,MF-1(A), ,,Transition,1989/07/18 05:00:00+00,,MF-1(A),566973c2-25f3-417f-b682-49c01c2fecdc,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,639381.958984375,3318.73320399415
644,PD,841,,Z090-240,2011/01/26 06:00:00+00,City Square Opportunity Center,PD-841,97b7ef0f-db20-4200-9f3c-c3bfc0bc40d7,28107,IM to PD 841_parcel replat pending,110300,2012/08/24 05:00:00+00,1,213452.30859375,1921.0890457116
645,PD,634,,Z023-204/11914,2003/05/28 05:00:00+00,DISD_Arcadia Park Elementary School,PD-634,262d0dec-6a7d-4fe6-85d9-427f3707b78b,25261,,031538,2012/08/24 05:00:00+00,,669732.669921875,3310.23425554192
646,NS(A), ,,,,,NS(A),a93720e5-f74a-426d-8b2e-8f9b79cde26f,,,,2012/08/24 05:00:00+00,,21044.615234375,585.536229012432
647,PD,162,,,,,PD-162,f86a52ff-02cb-4d86-bd7c-168a1c3d08a9,,,,2012/08/24 05:00:00+00,,1972815.66992188,7377.49806261014
648,NS(A), ,,,,,NS(A),069810bf-6c1f-4a5a-a616-7486804e3447,,,,2012/08/24 05:00:00+00,,72400.8203125,1363.97426355618
649,CR, ,,Transition,1989/07/18 05:00:00+00,,CR,830f6fdf-4e8c-4e15-8cb4-d24ffeb342df,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,2096523.09472656,7947.99127410559
650,MC-1, ,,,,,MC-1,d7e6b011-8fc8-4b10-9f67-d05f082e694d,,,,2012/08/24 05:00:00+00,,411502.143554688,3026.64870545209
651,NS(A), ,,,,,NS(A),41899098-47e9-476d-9ba1-a14ab7235a0b,,,,2012/08/24 05:00:00+00,,18752.619140625,553.879847354629
652,CR, ,,Transition,1989/07/18 05:00:00+00,,CR,83084f42-db35-4fc7-a224-53f491ca1aed,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,225115.41796875,2550.58425005657
653,CH, ,,Z023-248/11954,2004/10/27 05:00:00+00,,CH,1d29c54e-942c-493f-837a-929eb6cd06fd,25784,Deed Restricted-follows parcel and waterway lines,043063,2012/08/24 05:00:00+00,,2085757.50585938,6936.46424682988
654,D(A), ,,Transition,1989/07/18 05:00:00+00,,D(A),94e42463-40cc-41a3-9f85-940f2616f9e1,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,243933.258789062,2803.06389023536
655,IM, ,,Transition,1989/07/18 05:00:00+00,,IM,d499f3e4-d5c4-41da-a314-bb3ed09841b4,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,109864.908203125,1339.08619573673
656,MU-1, ,,Transition,1989/07/18 05:00:00+00,,MU-1,f6ed3b30-a785-468c-80a4-26812d2b2ddf,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,1844869.71582031,6522.76695276679
657,CR, ,,Transition,1989/07/18 05:00:00+00,,CR,ed04d2d6-cfd5-4454-9b88-e7e8980c38d7,19455,Zoning Tranistion to Chapter 51A,870470,2012/08/24 05:00:00+00,,824283.490234375,4808.70817560598
658,NS(A), ,,Transition,1989/07/18 05:00:00+00,,NS(A),d9e7c835-5618-4621-b40f-b18e01d0123b,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,58103.751953125,966.503431416015
659,PD,567,,,,,PD-567,3af6a8ec-19f2-4bb4-9dcb-f0161d134969,,,,2012/08/24 05:00:00+00,,275568.61328125,2872.11892110098
660,TH-3(A), ,,,,,TH-3(A),318e00f1-85d6-4f5b-92d2-f450ff4ebf5b,,,,2012/08/24 05:00:00+00,,19751.658203125,594.035642086198
661,CR, ,,Transition,1989/07/18 05:00:00+00,,CR,0ca9a23f-8340-4f12-9f45-372b1a9443e2,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,422445.477539062,4347.57320274955
662,PD,263,,,,,PD-263,e524e64e-c9b8-4cdb-b237-15e30a89ee07,,,,2012/08/24 05:00:00+00,,351813.364257812,3442.6226114588
663,NS(A), ,,Z178-351,2019/04/10 05:00:00+00,,NS(A),1d8edd6c-8ca3-4405-9eb8-8e7663b5f40f,31173,R-7.5(A) to NS(A) per ORD 31173_Z178-351 (CC-04/10/2019),190554,2019/04/10 05:00:00+00,,19077.39453125,602.11965045049
664,PD,343,,,,,PD-343,187c81fe-325b-4acb-be06-1ec16c415367,,,,2012/08/24 05:00:00+00,,1259257.68945312,5071.78471548121
665,NS(A), ,,,,,NS(A),78508a58-7e0c-4272-9acd-26c14697889f,,,,2012/08/24 05:00:00+00,,44327.0439453125,879.036698245389
666,RR, ,,,,,RR,65bc5f82-a52d-4131-8600-b412291b1644,,,,2012/08/24 05:00:00+00,,222991.420898438,2043.98948616583
667,MF-2(A), ,,,,,MF-2(A),07a0042d-6d26-4be6-949a-f7e801c1d8d7,,,,2012/08/24 05:00:00+00,,398743.370117188,2720.94032105623
668,CS, ,,Transition,1989/07/18 05:00:00+00,,CS,f785e817-532f-4ee7-a3a1-ad6500097c6b,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,44045.5205078125,902.546768515503
669,RR, ,,,,,RR,ddb16464-b154-4cec-a90c-1d37fb6ba1fe,,,,2012/08/24 05:00:00+00,,69824.921875,1154.38743306532
670,R-7.5(A), ,,Transition,1989/07/18 05:00:00+00,,R-7.5(A),fedbe683-8178-4604-a64f-cfebcefbd897,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,565750.51171875,3439.88800263691
671,PD,851,,Z101-224,2011/06/08 05:00:00+00,,PD-851,4a04431d-6b16-42ff-b615-951313f54231,28236,,111564,2012/08/24 05:00:00+00,1,99772.73046875,1264.88124074261
672,IR, ,,Z089-272,2009/12/09 06:00:00+00,,IR,0cffcc46-3059-4c67-841d-f9383fb284f4,27767,IR district expanded,093008,2012/08/24 05:00:00+00,,958775.34375,4571.40967078948
673,PD,65,,Z189-130,2019/04/10 05:00:00+00,,PD-65,5be7b513-e8bf-4922-a6ff-a7f752a98d67,31163,"ORDS_15374, 25423-COD, 25924, 31163_PD 65 is Non-contiguous_Amending and rezoning SA 1 within Tract 1 to Tract 3",190541,2019/04/10 05:00:00+00,2,189222.342773438,2453.88264805235
674,CR, ,,Transition,1989/07/18 05:00:00+00,,CR,51b3403c-6a58-41e0-84d4-b8848a037721,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,170386.389648438,2813.1614142692
675,R-16(A), ,,,,,R-16(A),ff92ecc8-28b0-4831-a27a-cd4e00b6a47b,,,,2012/08/24 05:00:00+00,,127146.7890625,2181.32616942841
676,MF-2(A), ,,,,,MF-2(A),32600ac0-9944-49c9-bc48-9ab04bf0afc4,,,,2012/08/24 05:00:00+00,,598065.767578125,3184.75623083327
677,P(A), ,,,,,P(A),39994662-bd44-44b8-ab57-5e0487cf0126,,,,2012/08/24 05:00:00+00,,133852.288085938,2344.24926146421
678,P(A), ,,Transition,1989/07/18 05:00:00+00,,P(A),69b2ad41-67ee-4cbd-9ca7-7def1d850be9,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,9123.3935546875,474.95823613875
679,PD,323,,Z123-243,2013/08/14 05:00:00+00,Urbandale Area Special Purpose District,PD-323,9f9e0520-bfb2-49ce-ae6d-2b0803ea63c3,29089,"Transition Study Area Z878-194_ORDS 20485, 23402, 25850-COD, 29089_PD expanded ",131357,2013/08/14 05:00:00+00,0,2773985.14453125,6909.4723092021
680,D(A), ,,Transition,1989/07/18 05:00:00+00,,D(A),f74a0499-3cf6-4fdc-a731-e0a41a470f74,19455,Zoning Transition to Chapter 51A,870470,2013/03/27 05:00:00+00,,24454.095703125,630.063678580228
681,MU-2, ,,Z178-102,2018/01/24 06:00:00+00,,MU-2,4f7c1446-1935-46da-80b0-7e75c3ee8734,30760,IR to MU-2 per ORD 30760,180231,2018/01/24 06:00:00+00,,14589.5908203125,492.595391476102
682,MF-1(A), ,,,,,MF-1(A),8d8a996e-ca30-4e9b-a5ee-f59ace9b15ed,,line adjustments,,2012/08/24 05:00:00+00,,212804.696289062,2017.02847879513
683,PD,520,,,,,PD-520,97cb96d8-279c-4294-932e-dcc460e90530,,,,2012/08/24 05:00:00+00,,421703.560546875,2585.77912338097
684,CR, ,,Transition,1989/07/18 05:00:00+00,,CR,71d87427-87d2-4b1b-a803-258c9341455a,19455,Zoning Transition to Chapter 51A_CR increased with Deed Restrictions per ORD 30342_Z167-109,870470,2017/01/25 06:00:00+00,,1370722.65039062,5897.50055681815
685,CS, ,,Transition,1989/07/18 05:00:00+00,,CS,3a1502bf-ddea-4afa-afd7-d1f3b85ab553,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,59647.4755859375,1367.21391141172
686,CR, ,,Z178-189,2018/09/26 05:00:00+00,,CR,b3d0fc74-0c2f-4387-b5d4-dd30617a078d,30998,R-7.5(A) to CR with Deed Restrictions per ORD 30998,181415,2018/09/26 05:00:00+00,,16575.2412109375,554.043862627427
687,R-5(A), ,,,,,R-5(A),810ec8c8-b5bb-4b2d-b461-f0d95e9c3f84,,,,2012/08/24 05:00:00+00,,2772260.34179688,7457.83115646536
688,TH-3(A), ,,,,,TH-3(A),4872a34f-6929-417e-bec3-13bd0a84519a,,,,2012/08/24 05:00:00+00,,499897.525390625,3581.36723981813
689,PD,1051,Null,Z201-126,2021/04/14 05:00:00+00,Parkland_5101 Maple Parking Garage,PD-1051,5199a16b-72cc-4bae-bd08-04325d70eda1,31839,ORDS_31839_IR to PD 1051 per ORD 31698,210651,2021/04/14 05:00:00+00,0,1128087.15357685,5201.39120554305
690,PD,1088,,Z201-180,2022/09/14 05:00:00+00,Buckenr Boulevard,PD-1088,59b08303-da19-47ec-9c5c-7e48dc3e9c62,32295,R-7.5(A) and LO-3 to PD 1088,221391,2022/09/14 05:00:00+00,1,616933.62109375,4330.88673935183
691,PD,1095,,Z212-190,2022/11/09 06:00:00+00,The Standard at Shoreline,PD-1095,a3864681-1e25-4ab9-ba1a-4c61220af172,32352,ORDS 32352_R-7.5(A) to PD 1095 per PropDesc on 7.257 acs,221711,2022/11/09 06:00:00+00,1,350396.63671875,2623.69651289565
692,CR, ,,Z123-154,2013/04/10 05:00:00+00,,CR,847fdf21-223e-4da6-81d0-6a344baa3f36,28966,R-7.5(A) to CR + Deed Restrictions,130662,2013/04/10 05:00:00+00,,320362.590820312,2335.42307013763
693,RR, ,,,,,RR,f945cd52-daa6-4d1a-8a63-8f16e445c0bb,,,,2012/08/24 05:00:00+00,,1426796.83203125,6894.0323873207
694,R-16(A), ,,,,,R-16(A),990c5368-e446-466f-b06f-003683c1886b,,,,2012/08/24 05:00:00+00,,1352478.36523438,13401.708330466
695,R-7.5(A), ,,Transition,1989/07/18 05:00:00+00,,R-7.5(A),3ed6fe89-4958-478b-853e-04d3e323ae7d,19455,Zoning Transition to Chapter 51A_R-7.5(A) reduced per ORD 29924 for PD 950,870470,2015/11/10 06:00:00+00,,30332852.2099609,35478.6719286375
696,MH(A), ,,Transition,1989/07/18 05:00:00+00,,MH(A),da1e34ac-5ade-4ceb-ab04-ef12b0cbf799,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,479606.796875,4003.84828967735
697,P(A), ,,,,,P(A),4d5c8459-93da-4e28-933c-2e50f1eb3787,,,,2012/08/24 05:00:00+00,,43538.38671875,841.322170477883
698,MU-1, ,,,,,MU-1,ada607f4-42e3-42e2-b821-552722ec9d02,,,,2012/08/24 05:00:00+00,,977715.467773438,4121.77168757268
699,CR, ,,Z190-336,2021/04/14 05:00:00+00,,CR,bd03ecb4-8a76-4264-9075-b752310dead2,31840,R-7.5(A) reduced/split to CR with Deed Res per PropDesc,210652,2021/04/14 05:00:00+00,,358157.84375,2957.50964816994
700,IM, ,,Transition,1989/07/18 05:00:00+00,,IM,173dd59e-6824-4dea-b8c5-6de77d16037f,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,2665785.69042969,8166.22017369131
701,R-7.5(A), ,,Transition,1989/07/18 05:00:00+00,,R-7.5(A),74557cd8-b6a2-459f-9372-4ee229ca0cd6,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,34423.939453125,945.347474195207
702,MF-1(A), ,,,,,MF-1(A),81435034-9afd-4a86-8074-f42e50108ad4,,,,2012/08/24 05:00:00+00,,2013827.48340034,6937.13461828687
703,GO(A), ,,Transition,1989/07/18 05:00:00+00,,GO(A),6dcbf58b-b3f3-49e8-910a-b3bedda0e011,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,284359.724609375,2274.88813096436
704,CR, ,,Transition,1989/07/18 05:00:00+00,,CR,037c3503-eb43-4925-9906-ddbeda0e3cc0,19455,Zoning Transition to Chapter 51A_R-7.5(A) reduced to CR increased with Deed Res under_Z190-334 (CC-3/24/2021),870470,2021/03/24 05:00:00+00,,473337.740234375,3198.89263250415
705,CR, ,,Transition,1989/07/18 05:00:00+00,,CR,64f963b1-16e1-4555-8829-6bc11fb37aa5,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,854740.353515625,5222.45907814932
706,NS(A), ,,,,,NS(A),4b3ac1d4-c6ce-406a-96b3-80114f699379,,,,2012/08/24 05:00:00+00,,39585.541015625,986.721898192077
707,PD,441,,Z956-166/10016-NE,1996/05/08 05:00:00+00,,PD-441,3558d565-8f09-4637-b4fc-d842149133f8,22747,"ORDS_22747, 26042",961636,2012/08/24 05:00:00+00,1,1102628.36523438,4937.37076468434
